Product name,Brand name,Package spec,Organic,Package code,Department,Category,Package code type,
Better Half Original Coconut Cream & Almondmilk,Califia Farms, 16.9 FL ( 500 ML),No,813636020232,Grocery and Beverages,Beverages,UPC-A,
Pure Horchata Classic Cinnamon,Califia Farms,48 FL OZ (1.4L),No,852909003947,Grocery and Beverages,Beverages,UPC-A,
Almondmilk Creamer Vanilla,Califia Farms,32 fl oz (946 ml),No,852909003817,Grocery and Beverages,Beverages,UPC-A,
Almondmilk Creamer Unsweetened,Califia Farms,32 fl oz ( 946 Ml),No,813636020249,Grocery and Beverages,Beverages,UPC-A,
Triple Shot Cold Brew Coffee With Almond Milk,Califia Farms,10.5 oz ( 310 mL),No,852909003978,Grocery and Beverages,Beverages,UPC-A,
Calrose Rice,California Blend,20 LB (9.07 KG),No,071208200202,Grocery and Beverages,"Grains, Beans, and Flour",UPC-A,
Calrose Rice,California Blend,20 LB (9.07 KG) ,No,712408200202,Grocery and Beverages,"Grains, Beans, and Flour",UPC-A,
Calrose Rice,California Blend,40 LB (18.14 KG),No,712408200509,Grocery and Beverages,"Grains, Beans, and Flour",UPC-A,
Calrose Rice,California Select,20 lb (9.07 kg),No,712408100205,Grocery and Beverages,"Grains, Beans, and Flour",UPC-A,
Calrose Rice,California Select,50 lb (22.68 kg),No,712408100502,Grocery and Beverages,"Grains, Beans, and Flour",UPC-A,
Calrose Rice,California Select,5 lb (2.27 kg),No,712408200059,Grocery and Beverages,"Grains, Beans, and Flour",UPC-A,
Premium Japanese Style Short Grain Rice,California Select,20 lbs (9.07 kg),No,712408000055,Grocery and Beverages,"Grains, Beans, and Flour",UPC-A,
Premium Japanese Style Short Grain Rice,California Select,50 lbs (22.68 kg),No,712408000062,Grocery and Beverages,"Grains, Beans, and Flour",UPC-A,
Premium Rice (M-401),California Select,50 lb (22.68 kg),No,712408000079,Grocery and Beverages,"Grains, Beans, and Flour",UPC-A,
Premium Rice (M-401),California Select,20 lb (9.07 kg),No,712408000086,Grocery and Beverages,"Grains, Beans, and Flour",UPC-A,
Cactus + Berry Wild Prickly Pear,Caliwater,11.2 fl oz ( 330 mL),No,853240004143,Grocery and Beverages,Beverages,UPC-A,
Acerola Berry Juice,Caribe Juice,16 fl oz (475 ml),No,867420000009,Grocery and Beverages,Beverages,UPC-A,
Guava Juice,Caribe Juice,16 fl oz (475 ml),No,086742000003,Grocery and Beverages,Beverages,UPC-A,
Vegetarian Chik'n Chunks,Caroline's,NA,No,000000000000,Dairy and Refrigerated,"Tofu, Tempeh, and Alternative Meat Products",UPC-A,
Vegetarian Chik'n Chunks,Caroline's,13 oz (369g),No,845561000768,Dairy and Refrigerated,"Tofu, Tempeh, and Alternative Meat Products",UPC-A,
Organic Crinkle Cut French Fries,Cascadian Farm,NET WT 16 oz (1LB) 453g,Yes,021908501970,Produce,Fruits and Vegetables,UPC-A,
Hearty Morning Fiber Cereal,Cascadian Farm,14.6 oz. Carton,Yes,021908455525,Grocery and Beverages,Cereal and Breakfast Foods,UPC-A,
Palm Oil RBD,Catania,400 lbs,No,072071002146,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Fettuccine Spinach,Catelli Bistro,375g,No,064200115650,Grocery and Beverages,Pasta,UPC-A,
Lovely Coconut Hibiscus Organic Dark Chocolate,Chauo Chocolatier,2.1 oz (60 g),Yes,872629002204,Grocery and Beverages,"Candy, Chocolate, Desserts, and Sweeteners",UPC-A,
Lovely Raspberry Rose Organic Dark Chocolate,Chauo Chocolatier,2.1 oz (60 g),Yes,872629002228,Grocery and Beverages,"Candy, Chocolate, Desserts, and Sweeteners",UPC-A,
Peanut Butter Cookie Mix,Cherryvale Farms,12.5 OZ (354 g),No,856096003162,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Oatmeal Cookie Mix,Cherryvale Farms,16 oz (453g),No,856096003179,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Cornbread Mix,Cherryvale Farms,15 OZ (429 g),No,856096003117,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Baked Crunchy Chickpeas Fresh Salsa,Chic-A-Peas,2 OZ (57g),No,853404004071,Grocery and Beverages,Snack Foods and Bars,UPC-A,
Baked Crunchy Chickpeas Fresh Salsa,Chic-A-Peas, 1 LB 8 OZ (680g),No,853404004118,Grocery and Beverages,Snack Foods and Bars,UPC-A,
Avocado Oil,Cibaria,8.5 fl oz (250 ml),No,075744105021,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Avocado Oil,Cibaria,17 fl oz (500 ml),No,075744106028,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Organic Toasted Sesame Oil,Cibaria,8.5 fl oz (250 ml),Yes,075744300075,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Organic Toasted Sesame Oil,Cibaria,17 fl oz (500 ml),Yes,075744300648,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Macadamia Nut Oil,Cibaria,8.5 fl oz (250 ml),No,075744105069,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Macadamia Nut Oil,Cibaria,17 fl oz (500 ml),No,075744106066,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Oats & Honey Granola,Clearly Wholesome,12 OZ (340g),No,075070110614,Grocery and Beverages,Cereal and Breakfast Foods,UPC-A,
French Vanilla Almond Granola,Clearly Wholesome,12 OZ (340g),No,075070110584,Grocery and Beverages,Cereal and Breakfast Foods,UPC-A,
Ground Turmeric,Club House,,No,000006602226,Grocery and Beverages,"Herbs, Spices, and Other Ingredients",UPC-A,
Ground Oregano,Club House,,No,000006604127,Grocery and Beverages,"Herbs, Spices, and Other Ingredients",UPC-A,
Ground Sage,Club House,,No,000006604525,Grocery and Beverages,"Herbs, Spices, and Other Ingredients",UPC-A,
California Select Extra Virgin Olive Oil,Cobram Estate,375 ml,No,852696002369,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
California Select Extra Virgin Olive Oil,Cobram Estate,750 ml,No,852696002376,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Australia Select Extra Virgin Olive Oil,Cobram Estate,375 ml,No,852696002383,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Australia Select Extra Virgin Olive Oil,Cobram Estate,750 ml,No,852696002390,Grocery and Beverages,"Condiments, Oils, Dressings, and Spreads",UPC-A,
Organic Coconut Water,Coco Cooperative,,Yes,898999007014,Grocery and Beverages,Beverages,UPC-A,
Organic Coconut Water,Coco Cooperative,,Yes,898999007021,Grocery and Beverages,Beverages,UPC-A,
Organic Whole Young Chicken Without Giblets & Necks,Coleman Organic,VARIABLE,Yes,000000070249,Meat and Seafood,"Meat, Fish, and Eggs",UPC-A,
Organic Chicken Thigh Fillets - Ice Glazed,Coleman Organic,10 lbs,Yes,000000273831,Meat and Seafood,"Meat, Fish, and Eggs",UPC-A,
Organic Boneless Skinless Chicken Breast with Rib Meat - Ice Glazed,Coleman Organic,10 lbs,Yes,000000276399,Meat and Seafood,"Meat, Fish, and Eggs",UPC-A,
Bare Muffin Bake Mix,Cooggies,16 oz,No,853970002570,Grocery and Beverages,"Candy, Chocolate, Desserts, and Sweeteners",UPC-A,
Stone-ex,Crystal Star,650 MG Cap,No,747889040108,Supplements,Vitamins and Supplements,UPC-A,
Brown Sugar Oatmeal Crispy Cookie BItes,Dancing Deer,5 ounce,No,674971119193,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Pumpkin Oatmeal Crispy Cookie Bite,Dancing Deer,5 oz ,No,674971129192,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Sloppy Joe Sauce,Dei Fratelli,15 OZ (425g),No,070900501471,Produce,Fruits and Vegetables,UPC-A,
Chopped Mexican Tomatoes & Jalapenos Sea Salt,Dei Fratelli,14.5 OZ (411g),No,070900501655,Produce,Fruits and Vegetables,UPC-A,
Sloppy Joe Sauce,Dei Fratelli,28 OZ (794g),No,070900501983,Produce,Fruits and Vegetables,UPC-A,
Tasty Tom Spicy Tomato Juice,Dei Fratelli,46 FL OZ (1 QT 14 FL OZ) 1.36L,No,070900203214,Grocery and Beverages,Beverages,UPC-A,
Seasoned Diced Tomatoes,Dei Fratelli,28 OZ (794g),No,070900208233,Produce,Fruits and Vegetables,UPC-A,
Seasoned Diced Tomatoes,Dei Fratelli,14.5 OZ (411g),No,070900208240,Produce,Fruits and Vegetables,UPC-A,
Whole Tomatoes,Dei Fratelli,28 OZ (794g),No,070900501228,Produce,Fruits and Vegetables,UPC-A,
Stewed Tomatoes,Dei Fratelli,14.5 OZ (411g),No,070900501259,Produce,Fruits and Vegetables,UPC-A,
Whole Tomatoes,Dei Fratelli,14.5 OZ (411g),No,070900501433,Produce,Fruits and Vegetables,UPC-A,
Stewed Tomatoes,Dei Fratelli,28 OZ (794g),No,070900501457,Produce,Fruits and Vegetables,UPC-A,
Stewed Tomatoes,Dei Fratelli,6 LBs 6 OZ (2.89kg),No,070900501488,Produce,Fruits and Vegetables,UPC-A,
Mushroom Sauce,Dei Fratelli,24 OZ (680 g),No,070900501556,Produce,Fruits and Vegetables,UPC-A,
Diced Tomatoes In Hearty Sauce,Dei Fratelli,28 OZ (794g),No,070900501594,Produce,Fruits and Vegetables,UPC-A,
"Chopped Italian Tomatoes, Herbs & Olive Oil",Dei Fratelli,14.5 OZ ( 411g),No,070900501662,Produce,Fruits and Vegetables,UPC-A,
"Chopped Italian Tomatoes, Herbs & Olive Oil",Dei Fratelli,28 OZ (794g),No,070900501686,Produce,Fruits and Vegetables,UPC-A,
Chopped Tomatoes Onion & Garlic,Dei Fratelli,14.5 OZ (411g),No,070900501730,Produce,Fruits and Vegetables,UPC-A,
Marinara Sauce,Dei Fratelli,24 OZ (680g),No,070900501808,Produce,Fruits and Vegetables,UPC-A,
Seasoned Diced Tomatoes,Dei Fratelli,6 LBs 6 OZ (2.89kg),No,070900501839,Produce,Fruits and Vegetables,UPC-A,
"Petite Diced Tomatoes Onion, Celery & Peppers",Dei Fratelli,14.5 OZ (411g),No,070900502065,Produce,Fruits and Vegetables,UPC-A,
Arrabbiata Sauce,Dei Fratelli,24 OZ (680 g),No,070900502607,Produce,Fruits and Vegetables,UPC-A,
Tomato & Basil Sauce,Dei Fratelli,24 OZ (680g),No,070900502638,Produce,Fruits and Vegetables,UPC-A,
Gluten-Free Tomato Soup Condensed,Dei Fratelli,10.75 OZ (305g),No,070900503109,Produce,Fruits and Vegetables,UPC-A,
Gluten-Free Tomato Soup Condensed,Dei Fratelli,50 OZ (1418g),No,070900503505,Produce,Fruits and Vegetables,UPC-A,
Organic Millet Bread,Deland Bakery, 16 oz ( 1 LB) 454 g,Yes,831011000013,Grocery and Beverages,Breads and Baked Goods,UPC-A,
Very Clear Moisturizer,derma e,2 oz (56 g),No,030985039009,Personal Care,Body Care Products,UPC-A,
Thai Red Curry Simmer Sauce,Desiam,7 OZ (200g),No,885881000116,Grocery and Beverages,"Herbs, Spices, and Other Ingredients",UPC-A,
Apple Crisp Bones,Doggy Delirious,5 lbs (2.27 kg),No,502011515950,Pet Products,Pet Products,UPC-A,
Sweet Potato Bones Natural Dog Treats,Doggy Delirious,16 oz (453.6 g),No,850201006000,Pet Products,Pet Products,UPC-A,
Cranberry Carrot Bones Natural Dog Treats,Doggy Delirious,16 oz (453.6 g),No,850201006031,Pet Products,Pet Products,UPC-A,
Gingerbread Bones,Doggy Delirious,16 oz (453.6 g),No,850201006994,Pet Products,Pet Products,UPC-A,
Peanut Butter Bones Natural Dog Treats Grain Free,Doggy Delirious,16 oz (453.6 g),No,850201140544,Pet Products,Pet Products,UPC-A,
Berry Bones,Doggy Delirious,5 lbs (2.27kg),No,850201140599,Pet Products,Pet Products,UPC-A,
Cranberry Carrot Bones,Doggy Delirious,5 lbs (2.27kg),No,850201140612,Pet Products,Pet Products,UPC-A,
Peanut Butter Bones Natural Dog Treats,Doggy Delirious,16 oz (453.6 g),No,850201415741,Pet Products,Pet Products,UPC-A,
Apple Cinnamon Bones Natural Dog Treats,Doggy Delirious,16 oz (453.6 g),No,850201415772,Pet Products,Pet Products,UPC-A,
Organic Tomato Bisque Vegan Soup,Dr. McDougall's,17.7 OZ (1.1 LBS) 502 G,Yes,076733507765,Grocery and Beverages,Soups and Sauces,UPC-A,
Rice Dream Chocolate Pie Rice-Based Frozen Dessert,Dream,3.7 fl oz (109 ml),No,084253444200,Dairy and Refrigerated,Alternative Dairy Products,UPC-A,
Rice Dream Mint Pie Non-Dairy Frozen Dessert,Dream,3.7 fl oz (109 ml),No,084253444309,Dairy and Refrigerated,Alternative Dairy Products,UPC-A,
Organic Tuscan Herbs Mill,Drogheria e Alimentari,0.56 OZ (16 g),Yes,656385379004,Grocery and Beverages,"Herbs, Spices, and Other Ingredients",UPC-A,
Organic Tuscan Bread Dipping Mix,Drogheria e Alimentari,0.97 OZ   (28 g),Yes,656385371008,Grocery and Beverages,"Herbs, Spices, and Other Ingredients",UPC-A,
Organic Garlic & Red Pepper Mill,Drogheria e Alimentari,1.06 oz (30 g),Yes,656385378007,Grocery and Beverages,"Herbs, Spices, and Other Ingredients",UPC-A,
Organic Pepper & Lemon Mill,Drogheria e Alimentari,1.41 OZ (40 g),Yes,656385382004,Grocery and Beverages,"Herbs, Spices, and Other Ingredients",UPC-A,
Organic Sicilian Bread Dipping Mix,Drogheria e Alimentari,1.14 OZ (33 g),Yes,656385370001,Grocery and Beverages,"Herbs, Spices, and Other Ingredients",UPC-A,
